set_name,group_id,printings.set
Crucible of War,2724,cru
Arcane Rising,2725,arc
Welcome to Rathe,2726,wtr
Welcome Deck: Ira,2727,ira
Hero Deck: Bravo,2728,bvo
Hero Deck: Rhinar,2729,rnr
Hero Deck: Katsu,2730,ksu
Hero Deck: Dorinthea,2731,tea
Flesh and Blood: Promo Cards,2732,fab
Monarch,2775,mon
Blitz Deck: Monarch - Prism,2818,psm
Blitz Deck: Monarch - Boltyn,2819,bol
Blitz Deck: Monarch - Chane,2820,chn
Blitz Deck: Monarch - Levia,2821,lev
Tales of Aria,2885,ele
Everfest,2947,evr
Blitz Deck: Tales of Aria - Lexi,3016,lxi
Blitz Deck: Tales of Aria - Oldhim,3017,old
Blitz Deck: Tales of Aria - Briar,3018,bri
History Pack Vol.1,3053,1hp
Uprising,3056,upr
Classic Battles: Rhinar vs Dorinthea,3057,dvr
Blitz Deck: Uprising - Fai,3059,fai
Blitz Deck: Uprising - Dromai,3060,dro
Dynasty,17678,dyn
Outsiders,22893,out
Blitz Deck: Outsiders - Arakni,22898,ara
Blitz Deck: Outsiders - Azalea,22899,azl
Blitz Deck: Outsiders - Benji,22900,ben
Blitz Deck: Outsiders - Katsu,22901,kat
Blitz Deck: Outsiders - Riptide,22902,rip
Blitz Deck: Outsiders - Uzuri,22903,uzu
Dusk till Dawn,23173,dtd
Bright Lights,23277,evo
Round the Table: TCCxLSS,23295,tcc
Heavy Hitters,23354,hvy
Blitz Deck: Heavy Hitters - Kassai,23384,ksi
Blitz Deck: Heavy Hitters - Kayo,23388,kyo
Blitz Deck: Heavy Hitters - Rhinar,23389,rhi
Blitz Deck: Heavy Hitters - Betsy,23390,bet
Blitz Deck: Heavy Hitters - Olympia,23391,ola
Blitz Deck: Heavy Hitters - Victor,23392,vic
Part the Mistveil,23476,mst
Blitz Deck: Part the Mistveil - Enigma,23477,eng
Blitz Deck: Part the Mistveil - Nuu,23478,nuu
Blitz Deck: Part the Mistveil - Zen,23479,zen
Armory Deck: Kayo,23506,ako
Armory Deck: Boltyn,23534,asb
Rosetta,23540,ros
1st Strike,23548,aur
Armory Deck: Azalea,23558,aaz
Armory Deck: Dash,23738,aio
Blitz Deck: Rosetta - Florian,23741,flr
Blitz Deck: Rosetta - Aurora,23742,aua
Blitz Deck: Rosetta - Oscilio,23744,osc
Blitz Deck: Rosetta - Verdance,23745,ver
Historic Pack 1 Blitz Deck: Bravo,23760,1hb
Historic Pack 1 Blitz Deck: Dash,23761,1hd
Historic Pack 1 Blitz Deck: Dorinthea,23762,1ht
Historic Pack 1 Blitz Deck: Kano,23763,1hk
Historic Pack 1 Blitz Deck: Rhinar,23764,1hr
Historic Pack 1 Blitz Deck: Viserai,23765,1hv
Armory Deck: Jarl Vetreidi,23771,ajv
The Hunted,23815,hnt
Armory Deck: Aurora,24162,ast
GEM Pack 1,24176,gem
Blitz Deck: The Hunted - Arakni,24212,ark
Blitz Deck: The Hunted - Fang,24213,fng
"Blitz Deck: The Hunted - Arakni, Web of Deceit",24214,wod
Blitz Deck: The Hunted - Cindra,24215,cin
Armory Deck: Maxx Nitro,24253,amx
High Seas,24266,sea
Armory Deck: Gravy Bones,24268,agb
Armory Deck: Ira,24315,asr
Mastery Pack Guardian,24330,mpg
GEM Pack 2,24334,gem
Super Slam,24371,sup
Armory Deck: Pleiades,24375,aps
Welcome Deck Bravo,24391,BDD
Smash Palace,24415,SMP
Armory Deck: Legends Viserai,24416,AVS
Armory Deck: Legends Prism,24417,APR
GEM Pack 3,24446,gem
Armory Deck: Rhinar,24474,ARR
Armory Deck: Arakni,24526,AAC
Compendium of Rathe,24532,PEN
Compendium of Rathe - Antiquity Pack,24533,ANQ
Armory Deck Origins: Hala,24610,aha
GEM Pack 4,24620,gem
GEM Pack 5,24720,gem
Silver Age Chapter 1 - Bravo,24524,SBR
Silver Age Chapter 1 - Dash,24524,SDA
Silver Age Chapter 1 - Iyslander,24524,SIY
Silver Age Chapter 1 - Kayo,24524,SKA
Silver Age Chapter 1 - Viserai,24524,SVI
Silver Age Chapter 2 - Arakni Web of Deceit,24525,SAR
Silver Age Chapter 2 - Azalea,24525,SAZ
Silver Age Chapter 2 - Dorinthea,24525,SDO
Silver Age Chapter 2 - Enigma,24525,SEN
Silver Age Chapter 2 - Fai,24525,SFA
Armory Deck - Zyggy,24639,AZS
Omens of the Third Age,24640,OMN
Classic Battles: Rhinar vs Dorinthea - Rhinar,3057,RVD
First Strike - Terra,23548,TER
Mastery Pack Warrior,24671,mpw
Armory Deck: Olympia,24672,aol
Silver Age Chapter 3 - Briar,24706,SBA
Silver Age Chapter 3 - Boltyn,24706,SBL
Silver Age Chapter 3 - Blaze Firemind,24706,SBZ
Silver Age Chapter 3 - Gravy Bones,24706,SGB
Silver Age Chapter 3 - Lyath Goldmane,24706,SLY
