set_name,group_id
"Crucible of War", 2724
"Arcane Rising", 2725
"Welcome to Rathe", 2726
"Welcome Deck: Ira", 2727
"Hero Deck: Bravo", 2728
"Hero Deck: Rhinar", 2729
"Hero Deck: Katsu", 2730
"Hero Deck: Dorinthea", 2731
"Flesh and Blood: Promo Cards", 2732
"Monarch", 2775
"Blitz Deck: Monarch - Prism", 2818
"Blitz Deck: Monarch - Boltyn", 2819
"Blitz Deck: Monarch - Chane", 2820
"Blitz Deck: Monarch - Levia", 2821
"Tales of Aria", 2885
"Everfest", 2947
"Blitz Deck: Tales of Aria - Lexi", 3016
"Blitz Deck: Tales of Aria - Oldhim", 3017
"Blitz Deck: Tales of Aria - Briar", 3018
"History Pack Vol.1", 3053
"Uprising", 3056
"Classic Battles: Rhinar vs Dorinthea", 3057
"Blitz Deck: Uprising - Fai", 3059
"Blitz Deck: Uprising - Dromai", 3060
"Dynasty", 17678
"Outsiders", 22893
"Blitz Deck: Outsiders - Arakni", 22898
"Blitz Deck: Outsiders - Azalea", 22899
"Blitz Deck: Outsiders - Benji", 22900
"Blitz Deck: Outsiders - Katsu", 22901
"Blitz Deck: Outsiders - Riptide", 22902
"Blitz Deck: Outsiders - Uzuri", 22903
"Dusk till Dawn", 23173
"Bright Lights", 23277
"Round the Table: TCCxLSS", 23295
"Heavy Hitters", 23354
"Blitz Deck: Heavy Hitters - Kassai", 23384
"Blitz Deck: Heavy Hitters - Kayo", 23388
"Blitz Deck: Heavy Hitters - Rhinar", 23389
"Blitz Deck: Heavy Hitters - Betsy", 23390
"Blitz Deck: Heavy Hitters - Olympia", 23391
"Blitz Deck: Heavy Hitters - Victor", 23392
"Part the Mistveil", 23476
"Blitz Deck: Part the Mistveil - Enigma", 23477
"Blitz Deck: Part the Mistveil - Nuu", 23478
"Blitz Deck: Part the Mistveil - Zen", 23479
"Armory Deck: Kayo", 23506
"Armory Deck: Boltyn", 23534
"Rosetta", 23540
"1st Strike", 23548
"Armory Deck: Azalea", 23558
"Armory Deck: Dash", 23738
"Blitz Deck: Rosetta - Florian", 23741
"Blitz Deck: Rosetta - Aurora", 23742
"Blitz Deck: Rosetta - Oscilio", 23744
"Blitz Deck: Rosetta - Verdance", 23745
"Historic Pack 1 Blitz Deck: Bravo", 23760
"Historic Pack 1 Blitz Deck: Dash", 23761
"Historic Pack 1 Blitz Deck: Dorinthea", 23762
"Historic Pack 1 Blitz Deck: Kano", 23763
"Historic Pack 1 Blitz Deck: Rhinar", 23764
"Historic Pack 1 Blitz Deck: Viserai", 23765
"Armory Deck: Jarl Vetreidi", 23771
"The Hunted", 23815
"Armory Deck: Aurora", 24162
"GEM Pack 1", 24176
"Blitz Deck: The Hunted - Arakni", 24212
"Blitz Deck: The Hunted - Fang", 24213
"Blitz Deck: The Hunted - Arakni, Web of Deceit", 24214
"Blitz Deck: The Hunted - Cindra", 24215
"Armory Deck: Maxx Nitro", 24253
"High Seas", 24266
"Armory Deck: Gravy Bones", 24268
"Armory Deck: Ira", 24315
"Mastery Pack Guardian", 24330
"GEM Pack 2", 24334
"Super Slam", 24371
"Armory Deck: Pleiades", 24375
"Welcome Deck Bravo", 24391
"Smash Palace", 24415
"Armory Deck: Legends Viserai", 24416
"Armory Deck: Legends Prism", 24417
"GEM Pack 3", 24446
"Armory Deck: Rhinar", 24474
"Silver Age Chapter 1", 24524
"Silver Age Chapter 2", 24525
"Armory Deck: Arakni", 24526
"Compendium of Rathe", 24532
"Compendium of Rathe - Antiquity Pack", 24533
"Armory Deck Origins: Hala", 24610
"GEM Pack 4", 24620
"Armory Deck: Zyggy", 24639
"Omens of the Third Age", 24640
